1R_1,#genre#
TV Adultos POV (+18) | HD,http://cdn.adultiptv.net/pov.m3u8?PlaylistM3UCL
TV Adultos Teens (+18) | HD,http://cdn.adultiptv.net/teen.m3u8?PlaylistM3UCL
TV Adultos GangBang (+18) | HD,http://cdn.adultiptv.net/gangbang.m3u8?PlaylistM3UCL
TV Adultos Brunette (+18) | HD,http://cdn.adultiptv.net/brunette.m3u8?PlaylistM3UCL
TV Adultos Blonde (+18) | HD,http://cdn.adultiptv.net/blonde.m3u8?PlaylistM3UCL
TV Adultos Live Cams (+18) | HD,http://cdn.adultiptv.net/livecams.m3u8?PlaylistM3UCL
TV Adultos Latina (+18) | HD,http://cdn.adultiptv.net/latina.m3u8?PlaylistM3UCL
TV Adultos MILF (+18) | HD,http://cdn.adultiptv.net/milf.m3u8?PlaylistM3UCL
TV Adultos Pornstars (+18) | HD,http://cdn.adultiptv.net/pornstar.m3u8?PlaylistM3UCL
STREAM 1,http://stream2.fastcdn.me/flv/490.mp4
STREAM 2,http://stream2.fastcdn.me/flv/487.mp4
STREAM 3,http://stream2.fastcdn.me/flv/484.mp4
STREAM 4,http://stream2.fastcdn.me/flv/481.mp4
STREAM 5,http://stream2.fastcdn.me/flv/459.mp4
STREAM 6,http://stream2.fastcdn.me/flv/456.mp4
STREAM 7,http://stream2.fastcdn.me/flv/451.mp4
STREAM 8,http://stream2.fastcdn.me/flv/422.mp4
STREAM 9,http://stream2.fastcdn.me/flv/414.mp4
STREAM 10,http://stream2.fastcdn.me/flv/416.mp4
STREAM 11,http://stream2.fastcdn.me/flv/408.mp4
STREAM 12,http://stream2.fastcdn.me/flv/409.mp4
STREAM 13,http://stream2.fastcdn.me/flv/391.mp4
STREAM 14,http://stream2.fastcdn.me/flv/389.mp4
STREAM 15,http://stream2.fastcdn.me/flv/377.mp4
STREAM 16,http://stream2.fastcdn.me/flv/375.mp4
STREAM 17,http://stream2.fastcdn.me/flv/370.mp4
STREAM 18,http://stream2.fastcdn.me/flv/371.mp4
STREAM 19,http://stream2.fastcdn.me/flv/363.mp4
STREAM 20,http://stream2.fastcdn.me/flv/359.mp4
STREAM 21,http://stream2.fastcdn.me/flv/356.mp4
STREAM 22,http://stream2.fastcdn.me/flv/347.mp4
STREAM 23,http://stream2.fastcdn.me/flv/367.mp4
STREAM 24,http://stream2.fastcdn.me/flv/346.mp4
STREAM 25,http://stream2.fastcdn.me/flv/343.mp4
STREAM 26,http://stream2.fastcdn.me/flv/337.mp4
STREAM 27,http://stream2.fastcdn.me/flv/336.mp4
STREAM 28,http://stream2.fastcdn.me/flv/333.mp4
STREAM 29,http://stream2.fastcdn.me/flv/326.mp4
STREAM 30,http://stream2.fastcdn.me/flv/322.mp4
STREAM 31,http://stream2.fastcdn.me/flv/318.mp4
STREAM 32,http://stream2.fastcdn.me/flv/316.mp4
STREAM 33,http://stream2.fastcdn.me/flv/308.mp4
STREAM 34,http://stream2.fastcdn.me/flv/311.mp4
STREAM 35,http://stream2.fastcdn.me/flv/310.mp4
STREAM 36,http://stream2.fastcdn.me/flv/301.mp4
STREAM 37,http://stream2.fastcdn.me/flv/303.mp4
STREAM 38,http://stream2.fastcdn.me/flv/299.mp4
STREAM 39,http://stream2.fastcdn.me/flv/293.mp4
STREAM 40,http://stream2.fastcdn.me/flv/291.mp4
STREAM 41,http://stream2.fastcdn.me/flv/280.mp4
STREAM 42,http://stream2.fastcdn.me/flv/283.mp4
STREAM 43,http://stream2.fastcdn.me/flv/282.mp4
STREAM 44,http://stream2.fastcdn.me/flv/281.mp4
STREAM 45,http://stream2.fastcdn.me/flv/279.mp4
STREAM 46,http://stream2.fastcdn.me/flv/275.mp4
STREAM 47,http://stream2.fastcdn.me/flv/273.mp4
STREAM 48,http://stream2.fastcdn.me/flv/269.mp4
STREAM 49,http://stream2.fastcdn.me/flv/268.mp4
STREAM 50,http://stream2.fastcdn.me/flv/271.mp4
STREAM 51,http://stream2.fastcdn.me/flv/267.mp4
STREAM 52,http://stream2.fastcdn.me/flv/266.mp4
STREAM 53,http://stream2.fastcdn.me/flv/265.mp4
STREAM 54,http://stream2.fastcdn.me/flv/264.mp4
STREAM 55,http://stream2.fastcdn.me/flv/262.mp4
STREAM 56,http://stream2.fastcdn.me/flv/261.mp4
STREAM 57,http://stream2.fastcdn.me/flv/259.mp4
STREAM 58,http://stream2.fastcdn.me/flv/260.mp4
STREAM 59,http://stream2.fastcdn.me/flv/256.mp4
STREAM 60,http://stream2.fastcdn.me/flv/254.mp4
STREAM 61,http://stream2.fastcdn.me/flv/251.mp4
STREAM 62,http://stream2.fastcdn.me/flv/249.mp4
STREAM 63,http://stream2.fastcdn.me/flv/248.mp4
STREAM 64,http://stream2.fastcdn.me/flv/227.mp4
STREAM 65,http://stream2.fastcdn.me/flv/214.mp4
STREAM 66,http://stream2.fastcdn.me/flv/216.mp4
STREAM 67,http://stream2.fastcdn.me/flv/210.mp4
STREAM 68,http://stream2.fastcdn.me/flv/200.mp4
STREAM 69,http://stream2.fastcdn.me/flv/199.mp4
STREAM 70,http://stream2.fastcdn.me/flv/197.mp4
STREAM 71,http://stream2.fastcdn.me/flv/196.mp4
